name,system,utc,body,lon_deg
Tokyo_1987_11_15_0600,tropical,,Sun,
Tokyo_1987_11_15_0600,tropical,,Moon,
Tokyo_1987_11_15_0600,tropical,,Mercury,
Tokyo_1987_11_15_0600,tropical,,Venus,
Tokyo_1987_11_15_0600,tropical,,Mars,
Tokyo_1987_11_15_0600,tropical,,Jupiter,
Tokyo_1987_11_15_0600,tropical,,Saturn,
Tokyo_1987_11_15_0600,tropical,,Uranus,
Tokyo_1987_11_15_0600,tropical,,Neptune,
Tokyo_1987_11_15_0600,tropical,,Pluto,
Tokyo_1987_11_15_0600,tropical,,TrueNode,
Tokyo_1987_11_15_0600,tropical,,MeanNode,
Tokyo_1987_11_15_0600,sidereal_fb,,Sun,
Tokyo_1987_11_15_0600,sidereal_fb,,Moon,
Tokyo_1987_11_15_0600,sidereal_fb,,Mercury,
Tokyo_1987_11_15_0600,sidereal_fb,,Venus,
Tokyo_1987_11_15_0600,sidereal_fb,,Mars,
Tokyo_1987_11_15_0600,sidereal_fb,,Jupiter,
Tokyo_1987_11_15_0600,sidereal_fb,,Saturn,
Tokyo_1987_11_15_0600,sidereal_fb,,Uranus,
Tokyo_1987_11_15_0600,sidereal_fb,,Neptune,
Tokyo_1987_11_15_0600,sidereal_fb,,Pluto,
Tokyo_1987_11_15_0600,sidereal_fb,,TrueNode,
Tokyo_1987_11_15_0600,sidereal_fb,,MeanNode,
London_2003_03_28_1445,tropical,,Sun,
London_2003_03_28_1445,tropical,,Moon,
London_2003_03_28_1445,tropical,,Mercury,
London_2003_03_28_1445,tropical,,Venus,
London_2003_03_28_1445,tropical,,Mars,
London_2003_03_28_1445,tropical,,Jupiter,
London_2003_03_28_1445,tropical,,Saturn,
London_2003_03_28_1445,tropical,,Uranus,
London_2003_03_28_1445,tropical,,Neptune,
London_2003_03_28_1445,tropical,,Pluto,
London_2003_03_28_1445,tropical,,TrueNode,
London_2003_03_28_1445,tropical,,MeanNode,
London_2003_03_28_1445,sidereal_fb,,Sun,
London_2003_03_28_1445,sidereal_fb,,Moon,
London_2003_03_28_1445,sidereal_fb,,Mercury,
London_2003_03_28_1445,sidereal_fb,,Venus,
London_2003_03_28_1445,sidereal_fb,,Mars,
London_2003_03_28_1445,sidereal_fb,,Jupiter,
London_2003_03_28_1445,sidereal_fb,,Saturn,
London_2003_03_28_1445,sidereal_fb,,Uranus,
London_2003_03_28_1445,sidereal_fb,,Neptune,
London_2003_03_28_1445,sidereal_fb,,Pluto,
London_2003_03_28_1445,sidereal_fb,,TrueNode,
London_2003_03_28_1445,sidereal_fb,,MeanNode,
NewYork_1972_05_01_1930,tropical,,Sun,
NewYork_1972_05_01_1930,tropical,,Moon,
NewYork_1972_05_01_1930,tropical,,Mercury,
NewYork_1972_05_01_1930,tropical,,Venus,
NewYork_1972_05_01_1930,tropical,,Mars,
NewYork_1972_05_01_1930,tropical,,Jupiter,
NewYork_1972_05_01_1930,tropical,,Saturn,
NewYork_1972_05_01_1930,tropical,,Uranus,
NewYork_1972_05_01_1930,tropical,,Neptune,
NewYork_1972_05_01_1930,tropical,,Pluto,
NewYork_1972_05_01_1930,tropical,,TrueNode,
NewYork_1972_05_01_1930,tropical,,MeanNode,
NewYork_1972_05_01_1930,sidereal_fb,,Sun,
NewYork_1972_05_01_1930,sidereal_fb,,Moon,
NewYork_1972_05_01_1930,sidereal_fb,,Mercury,
NewYork_1972_05_01_1930,sidereal_fb,,Venus,
NewYork_1972_05_01_1930,sidereal_fb,,Mars,
NewYork_1972_05_01_1930,sidereal_fb,,Jupiter,
NewYork_1972_05_01_1930,sidereal_fb,,Saturn,
NewYork_1972_05_01_1930,sidereal_fb,,Uranus,
NewYork_1972_05_01_1930,sidereal_fb,,Neptune,
NewYork_1972_05_01_1930,sidereal_fb,,Pluto,
NewYork_1972_05_01_1930,sidereal_fb,,TrueNode,
NewYork_1972_05_01_1930,sidereal_fb,,MeanNode,
Sydney_1999_12_31_2359,tropical,,Sun,
Sydney_1999_12_31_2359,tropical,,Moon,
Sydney_1999_12_31_2359,tropical,,Mercury,
Sydney_1999_12_31_2359,tropical,,Venus,
Sydney_1999_12_31_2359,tropical,,Mars,
Sydney_1999_12_31_2359,tropical,,Jupiter,
Sydney_1999_12_31_2359,tropical,,Saturn,
Sydney_1999_12_31_2359,tropical,,Uranus,
Sydney_1999_12_31_2359,tropical,,Neptune,
Sydney_1999_12_31_2359,tropical,,Pluto,
Sydney_1999_12_31_2359,tropical,,TrueNode,
Sydney_1999_12_31_2359,tropical,,MeanNode,
Sydney_1999_12_31_2359,sidereal_fb,,Sun,
Sydney_1999_12_31_2359,sidereal_fb,,Moon,
Sydney_1999_12_31_2359,sidereal_fb,,Mercury,
Sydney_1999_12_31_2359,sidereal_fb,,Venus,
Sydney_1999_12_31_2359,sidereal_fb,,Mars,
Sydney_1999_12_31_2359,sidereal_fb,,Jupiter,
Sydney_1999_12_31_2359,sidereal_fb,,Saturn,
Sydney_1999_12_31_2359,sidereal_fb,,Uranus,
Sydney_1999_12_31_2359,sidereal_fb,,Neptune,
Sydney_1999_12_31_2359,sidereal_fb,,Pluto,
Sydney_1999_12_31_2359,sidereal_fb,,TrueNode,
Sydney_1999_12_31_2359,sidereal_fb,,MeanNode,
Boulder_2025_09_27_1200,tropical,,Sun,
Boulder_2025_09_27_1200,tropical,,Moon,
Boulder_2025_09_27_1200,tropical,,Mercury,
Boulder_2025_09_27_1200,tropical,,Venus,
Boulder_2025_09_27_1200,tropical,,Mars,
Boulder_2025_09_27_1200,tropical,,Jupiter,
Boulder_2025_09_27_1200,tropical,,Saturn,
Boulder_2025_09_27_1200,tropical,,Uranus,
Boulder_2025_09_27_1200,tropical,,Neptune,
Boulder_2025_09_27_1200,tropical,,Pluto,
Boulder_2025_09_27_1200,tropical,,TrueNode,
Boulder_2025_09_27_1200,tropical,,MeanNode,
Boulder_2025_09_27_1200,sidereal_fb,,Sun,
Boulder_2025_09_27_1200,sidereal_fb,,Moon,
Boulder_2025_09_27_1200,sidereal_fb,,Mercury,
Boulder_2025_09_27_1200,sidereal_fb,,Venus,
Boulder_2025_09_27_1200,sidereal_fb,,Mars,
Boulder_2025_09_27_1200,sidereal_fb,,Jupiter,
Boulder_2025_09_27_1200,sidereal_fb,,Saturn,
Boulder_2025_09_27_1200,sidereal_fb,,Uranus,
Boulder_2025_09_27_1200,sidereal_fb,,Neptune,
Boulder_2025_09_27_1200,sidereal_fb,,Pluto,
Boulder_2025_09_27_1200,sidereal_fb,,TrueNode,
Boulder_2025_09_27_1200,sidereal_fb,,MeanNode
